Crm Cd;Crm Cd Desc;Crm Category
928;THREATENING PHONE CALLS/LETTERS;Terrorism and Threats
930;CRIMINAL THREATS - NO WEAPON DISPLAYED;Terrorism and Threats
931;REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR D...;Terrorism and Threats
932;PEEPING TOM;Invasion of Privacy
933;PROWLER;Invasion of Privacy
940;EXTORTION;Terrorism and Threats
943;CRUELTY TO ANIMALS;Others
944;CONSPIRACY;Disturbance and Disorderly Conduct
946;OTHER MISCELLANEOUS CRIME;Others
950;DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $...;Theft
951;DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 &...;Theft
954;CONTRIBUTING;Others
956;LETTERS, LEWD - TELEPHONE CALLS, LEWD;Disturbance and Disorderly Conduct
